,id,name,timezone,label,lat,lon,insee,region,label_region,id_region,zip_code
2,stop_area:SNCF:87118257,Vendeuvre,Europe/Paris,Vendeuvre (Vendeuvre-sur-Barse),48.240069,4.467214,10401,Vendeuvre-sur-Barse,Vendeuvre-sur-Barse (10140),admin:fr:10401,10140
3,stop_area:SNCF:87215947,Vendeuvre-sur-Barse Centre,Europe/Paris,Vendeuvre-sur-Barse Centre (Vendeuvre-sur-Barse),48.237519,4.466975,10401,Vendeuvre-sur-Barse,Vendeuvre-sur-Barse (10140),admin:fr:10401,10140
4,stop_area:SNCF:87574558,Vendôme,Europe/Paris,Vendôme (Vendôme),47.801959,1.068219,41269,Vendôme,Vendôme (41100),admin:fr:41269,41100
5,stop_area:SNCF:87571216,Vendôme - Villiers-sur-Loir,Europe/Paris,Vendôme - Villiers-sur-Loir (Villiers-sur-Loir),47.821937,1.021143,41294,Villiers-sur-Loir,Villiers-sur-Loir (41100),admin:fr:41294,41100
6,stop_area:SNCF:87611392,Venerque - Le Vernet,Europe/Paris,Venerque - Le Vernet (Vernet),43.433359,1.425956,31574,Vernet,Vernet (31810),admin:fr:31574,31810
7,stop_area:SNCF:87723320,Vénissieux,Europe/Paris,Vénissieux (Vénissieux),45.705608,4.888007,69259,Vénissieux,Vénissieux (69200),admin:fr:69259,69200
8,stop_area:SNCF:87240218,Venterol Gare,Europe/Paris,Venterol Gare (Venterol),44.395462,5.084841,26367,Venterol,Venterol (26110),admin:fr:26367,26110
9,stop_area:SNCF:83045013,Ventimiglia - Stazione,Europe/Paris,Ventimiglia - Stazione (Ventimiglia),43.792569,7.610233,,Ventimiglia,Ventimiglia,admin:osm:relation:42680,
10,stop_area:SNCF:87761825,Vercheny,Europe/Paris,Vercheny (Vercheny),44.705133,5.259098,26368,Vercheny,Vercheny (26340),admin:fr:26368,26340
11,stop_area:SNCF:87175778,Verdun,Europe/Paris,Verdun (Verdun),49.165441,5.379672,55545,Verdun,Verdun (55100),admin:fr:55545,55100
12,stop_area:SNCF:87458836,Verdun la Tour du Champ,Europe/Paris,Verdun la Tour du Champ (Verdun),49.163989,5.399661,55545,Verdun,Verdun (55100),admin:fr:55545,55100
13,stop_area:SNCF:87574434,Véretz - Montlouis,Europe/Paris,Véretz - Montlouis (Montlouis-sur-Loire),47.371386,0.819672,37156,Montlouis-sur-Loire,Montlouis-sur-Loire (37270),admin:fr:37156,37270
14,stop_area:SNCF:87775114,Vergèze - Codognan,Europe/Paris,Vergèze - Codognan (Vergèze),43.739784,4.218911,30344,Vergèze,Vergèze (30310),admin:fr:30344,30310
15,stop_area:SNCF:87683664,Vermenton,Europe/Paris,Vermenton (Vermenton),47.660761,3.732059,89441,Vermenton,Vermenton (89270),admin:fr:89441,89270
